书名,评分,评价人数,作者,出版社,url
瓦尔登湖,9.6,(112人评价),作者/译者： [美] 亨利·戴维·梭罗  (Henry David Thoreau) / 仲泽 ,出版信息：  译林出版社 / 2020-10 / 85.00元,https://book.douban.com/subject/35015980/
陶庵梦忆,9.5,(838人评价),作者/译者： 张岱 / 栾保群 注解 ,出版信息：  紫禁城出版社 / 2011-9 / 56.00元,https://book.douban.com/subject/7057187/
在峡江的转弯处:陈行甲人生笔记,9.5,(692人评价),作者/译者： 陈行甲 ,出版信息：  人民日报出版社 / 2021-1-10 / 48.00元,https://book.douban.com/subject/35317149/
汪曾祺自选集,9.5,(648人评价),作者/译者： 汪曾祺 ,出版信息：  商务印书馆 / 2015-8 / 68.00,https://book.douban.com/subject/26662549/
梦溪笔谈,9.5,(52人评价),作者/译者： 沈括 / 诸雨辰译注 ,出版信息：  中华书局 / 2016-11-2 / 54.00元,https://book.douban.com/subject/26913867/
受戒,9.4,(807人评价),作者/译者： 汪曾祺 ,出版信息：  天津人民出版社 / 2015-8 / 36.00元,https://book.douban.com/subject/26581332/
一只特立独行的猪,9.4,(113人评价),作者/译者： 王小波 ,出版信息：  北京十月文艺出版社 / 2021-1-1 / 59.00,https://book.douban.com/subject/34950797/
羊道三部曲(共3册),9.4,(1605人评价),作者/译者： [中国] 李娟 ,出版信息：  中信出版社 / 2017-8-1 / 135.00元,https://book.douban.com/subject/27116878/
叔本华思想随笔,9.4,(1573人评价),作者/译者： （德）叔本华 / 韦启昌 ,出版信息：  上海人民出版社 / 2008-10 / 34.00元,https://book.douban.com/subject/3245212/
加缪手记,9.4,(351人评价),作者/译者： (法) 阿尔贝·加缪 / 黄馨慧 ,出版信息：  浙江大学出版社 / 2019-8 / 158.00,https://book.douban.com/subject/34802764/
叔本华美学随笔,9.4,(822人评价),作者/译者： [德] 叔本华 / 韦启昌 ,出版信息：  上海人民出版社 / 2014-4 / 40.00元,https://book.douban.com/subject/25867564/
撒哈拉的故事,9.3,(56479人评价),作者/译者： 三毛 ,出版信息：  北京十月文艺出版社 / 2011-1-7 / 24.00元,https://book.douban.com/subject/6710437/
人间有情系列（共4册）,9.3,(19人评价),作者/译者： 林徽因、老舍、朱自清、朱生豪 ,出版信息：  天地出版社 / 2021-3-1 / 208.00元,https://book.douban.com/subject/35386668/
灵魂应是可以随时飞起的鸟,9.3,(37人评价),作者/译者： 赵松 ,出版信息：  上海文艺出版社 / 2021-1 / 55.00,https://book.douban.com/subject/35249401/
芥川龙之介全集,9.3,(1756人评价),作者/译者： [日] 芥川龙之介 / 郑民钦、魏大海、侯为 ,出版信息：  山东文艺出版社 / 2005-3 / 180.00元 (全5卷),https://book.douban.com/subject/1457542/
四楼的玻璃柱,9.3,(55人评价),作者/译者： ,出版信息： 张叶 / 万卷出版公司 / 2021-2,https://book.douban.com/subject/35396659/
万物生光辉,9.3,(1947人评价),作者/译者： [英] 吉米·哈利 / 余国芳、谢瑶玲 ,出版信息：  中国城市出版社 / 2012-3 / 32.80元,https://book.douban.com/subject/10519369/
寻找家园（增订版）,9.3,(2949人评价),作者/译者： 高尔泰 ,出版信息：  北京十月文艺出版社 / 2011-6 / 36.00元,https://book.douban.com/subject/6534897/
