书名,评分,评价人数,作者,出版社,url
灌籃高手新裝再編版(01)~(20)全套,9.9,(118人评价),作者/译者： 井上雄彥 ,出版信息：  何宜叡 / 尖端 / 2018-12,https://book.douban.com/subject/30319712/
灌篮高手（全31卷）,9.8,(5426人评价),作者/译者： [日] 井上雄彦 / 邹宁 ,出版信息：  长春出版社 / 2005-10 / 232.50元,https://book.douban.com/subject/2025999/
作业帮时光终不负你青春励志:在最好的年纪拼尽全力,9.8,(22人评价),作者/译者： 作业帮 ,出版信息：  西安出版社 / 2019-3 / 39.00,https://book.douban.com/subject/35113368/
我亲爱的偏执狂,9.8,(48人评价),作者/译者： 姚一十 ,出版信息：  广东人民出版社 / 2019-6-1 / 48,https://book.douban.com/subject/33456952/
灌篮高手十日后画册,9.7,(1113人评价),作者/译者： 井上雄彦 ,出版信息：  集英社 / 2009-04-23 / 150.00,https://book.douban.com/subject/4212367/
六人飞行组,9.6,(136人评价),作者/译者： 祝晓羽 ,出版信息：  中国少年儿童出版社 / 2003-06 / 15.00,https://book.douban.com/subject/1063639/
終將成為妳(8),9.6,(126人评价),作者/译者： 仲谷鳰 / 鄭湘蓓 ,出版信息：  臺灣角川 / 2020-7-30 / NT 150,https://book.douban.com/subject/35178300/
辛夷坞暖伤青春合集-贺岁典藏版,9.6,(121人评价),作者/译者： ,出版信息： 164.00元,https://book.douban.com/subject/4916719/
篮球飞人:男兒當入樽,9.6,(10426人评价),作者/译者： 井上雄彥 / 张成淼 ,出版信息：  文化傳訊 / 1996-3-30 / HK$32.00,https://book.douban.com/subject/1337297/
灌篮高手1,9.6,(2089人评价),作者/译者： 邓捷 / 邹宁 ,出版信息：  长春出版社 / 2005-4 / 20.00元,https://book.douban.com/subject/1608298/
十日后,9.6,(1673人评价),作者/译者： ,出版信息： 井上雄彦 / 内蒙古人民出版社,https://book.douban.com/subject/3714244/
Touch(Vol.01):香港中文版,9.6,(808人评价),作者/译者： 安達充 ,出版信息：  天下出版有限公司 / 1997年 / $32,https://book.douban.com/subject/2065195/
棒球英豪（11-15）,9.6,(402人评价),作者/译者： 安达充 / 王真 ,出版信息：  天津人民美术出版社 / 2002-10 / 6.60元,https://book.douban.com/subject/1106202/
銀之匙02,9.5,(584人评价),作者/译者： 荒川弘 / 方郁仁 ,出版信息：  東立出版社 / 2012-5-29 / NT$95,https://book.douban.com/subject/7058066/
終將成為妳(6),9.5,(193人评价),作者/译者： 仲谷鳰 / 鄭湘蓓 ,出版信息：  台灣角川 / 2019-5-16 / NT$130,https://book.douban.com/subject/34855033/
棒球英豪（1-5）,9.5,(848人评价),作者/译者： [日] 安达充 / 王真 ,出版信息：  天津人民美术出版社 / 2002-10 / 33.00元,https://book.douban.com/subject/1106201/
湯神くんには友達がいない16,9.5,(41人评价),作者/译者： 佐倉準 ,出版信息：  小学館 / 2019-7-18 / JPY 490,https://book.douban.com/subject/33457961/
擅長捉弄人的高木同學(09),9.5,(36人评价),作者/译者： 山本崇一朗 / 泪紫音 ,出版信息：  尖端出版 / 2019-7-23 / NT$140,https://book.douban.com/subject/34816054/
灌篮高手31,9.5,(29067人评价),作者/译者： [日] 井上雄彦 / 邹宁 ,出版信息：  长春出版社 / 2005-1 / 7.50元,https://book.douban.com/subject/1221515/
Clannad:Pastpresent,9.5,(942人评价),作者/译者： Clannad ,出版信息：  Music Sales Corporation / 1994-04 / USD 16.45,https://book.douban.com/subject/3082082/
河よりも長くゆるやかに,9.4,(63人评价),作者/译者： 吉田秋生 ,出版信息：  小学館 / 1994年12月 / 660円（税込）,https://book.douban.com/subject/2171093/
銀之匙08,9.4,(258人评价),作者/译者： 荒川弘 / 方郁仁 ,出版信息：  東立出版社 / 2014-1-24 / NT$100,https://book.douban.com/subject/24839803/
銀之匙04,9.4,(455人评价),作者/译者： 荒川弘 / 方郁仁 ,出版信息：  東立出版社 / 2013-2-25 / NT$95,https://book.douban.com/subject/10828055/
排球少年1:日向與影山,9.4,(796人评价),作者/译者： 古舘春一 / 蔡夢芳 ,出版信息：  東立 / 2013-3-15 / NT95,https://book.douban.com/subject/20382353/
終將成為妳(5),9.4,(237人评价),作者/译者： 仲谷鳰 / 鄭湘蓓 ,出版信息：  台灣角川 / 2018-10-8 / NT$130,https://book.douban.com/subject/30462445/
渊之信:简体中文版,9.4,(398人评价),作者/译者： [韩] 赵贤娥 著 ,出版信息：  咚漫、森雨漫 / 西泠印社出版社 / 128.00元,https://book.douban.com/subject/34872378/
无界成长,9.4,(193人评价),作者/译者： 谢胜子 ,出版信息：  文汇出版社 / 2020-5 / 48.00元,https://book.douban.com/subject/35065701/
銀之匙07,9.4,(269人评价),作者/译者： 荒川弘 / 方郁仁 ,出版信息：  東立出版社 / 2013-11-15 / NT$100,https://book.douban.com/subject/23126749/
終將成為妳(4),9.4,(232人评价),作者/译者： 仲谷鳩 / 雲加 ,出版信息：  台灣角川 / 2018-1-17 / 130 元,https://book.douban.com/subject/30375355/
百分百喜欢你,9.4,(25人评价),作者/译者： 三倍糖 ,出版信息：  花山文艺出版社 / 2020-3 / 36.80元,https://book.douban.com/subject/35026559/
BEASTARS15,9.3,(257人评价),作者/译者： 板垣巴留 ,出版信息：  秋田書店 / 2019-10-8 / JPY 490,https://book.douban.com/subject/34784735/
