书名,评分,评价人数,作者,出版社,url
来不及说再见的青春:电影《八月未央》故事集,9.1,(733人评价),作者/译者： 钟楚曦、罗晋、谭松韵、潘云贵、王天宁、另维 ,出版信息：  长江出版社 / 2021-3-1 / 59.8,https://book.douban.com/subject/34454462/
最好的我们,8.7,(62123人评价),作者/译者： 八月长安 ,出版信息：  湖南文艺出版社 / 2013-8-5 / 55,https://book.douban.com/subject/24754316/
那些回不去的年少时光,8.4,(52203人评价),作者/译者： 桐华 ,出版信息：  江苏文艺出版社 / 2010-01 / 23.80元,https://book.douban.com/subject/4231381/
那个不为人知的故事,8.6,(17183人评价),作者/译者： twentine ,出版信息：  江苏文艺出版社 / 2015-12 / 32.00元,https://book.douban.com/subject/26680113/
你好，旧时光（上下）,8.7,(40465人评价),作者/译者： 八月长安 ,出版信息：  新世界出版社 / 2009-12 / 39.80元,https://book.douban.com/subject/4166819/
暗恋·橘生淮南,7.9,(19409人评价),作者/译者： 八月长安 ,出版信息：  湖南文艺出版社 / 2014-7-25 / 58,https://book.douban.com/subject/25829434/
打火机与公主裙·荒草园,8.3,(9085人评价),作者/译者： Twentine ,出版信息：  青岛出版社 / 2017-3 / 36.00元,https://book.douban.com/subject/26978506/
我在未来等你,7.0,(5562人评价),作者/译者： 刘同 ,出版信息：  北京联合出版公司 / 2017-9 / 42.00,https://book.douban.com/subject/27139846/
暗格里的秘密,7.1,(1827人评价),作者/译者： 耳东兔子 ,出版信息：  百花洲文艺出版社 / 2019-5 / 59.80元,https://book.douban.com/subject/33423246/
忍冬,7.4,(6795人评价),作者/译者： Twentine ,出版信息：  青岛出版社 / 2016-3 / 38.00元,https://book.douban.com/subject/26743436/
会有天使替我爱你,6.6,(49902人评价),作者/译者： 明晓溪 ,出版信息：  新世界出版社 / 2005-5 / 20.00元,https://book.douban.com/subject/1291760/
小时代1.0折纸时代,6.5,(71406人评价),作者/译者： 郭敬明 ,出版信息：  长江文艺出版社 / 2008-10 / 29.80元,https://book.douban.com/subject/3191328/
悲伤逆流成河,6.2,(102662人评价),作者/译者： 郭敬明 ,出版信息：  长江文艺出版社 / 2007-5 / 24.00元,https://book.douban.com/subject/2062200/
谁的青春不迷茫:一个奋斗小青年的逆袭人生,5.8,(19592人评价),作者/译者： 刘同 ,出版信息：  中信出版社 / 2012-12 / 35.00元,https://book.douban.com/subject/20278327/
少年的你，如此美丽,6.1,(12114人评价),作者/译者： 玖月晞 ,出版信息：  百花洲文艺出版社 / 2016-9 / 32.00元,https://book.douban.com/subject/26858577/
何以笙箫默,7.7,(20347人评价),作者/译者： 顾漫 ,出版信息：  沈阳出版社 / 2011-1 / 25.00元,https://book.douban.com/subject/5686369/
左耳,6.9,(43853人评价),作者/译者： 饶雪漫 ,出版信息：  当代世界出版社 / 2006-2 / 22.00元,https://book.douban.com/subject/1469051/
原来你还在这里,7.6,(45674人评价),作者/译者： 辛夷坞 ,出版信息：  朝华出版社 / 2007-10 / 25.00元,https://book.douban.com/subject/2331434/
他笑时风华正茂,7.2,(1339人评价),作者/译者： 舒远 ,出版信息：  百花洲文艺出版社 / 2018-1 / 34.80元,https://book.douban.com/subject/27665876/
解药,8.3,(171人评价),作者/译者： 巫哲 ,出版信息：  广东旅游出版社 / 2020-12 / 49.80元,https://book.douban.com/subject/35297818/
挪威的森林,8.7,(5536人评价),作者/译者： [日]村上春树 / 林少华 ,出版信息：  上海译文出版社 / 2014-4 / 48.00元,https://book.douban.com/subject/25859657/
1995-2005夏至未至,7.3,(74419人评价),作者/译者： 郭敬明 ,出版信息：  春风文艺出版社 / 2005-2 / 24.00元,https://book.douban.com/subject/1049189/
旧梦1913,7.6,(1267人评价),作者/译者： 沈鱼藻 ,出版信息：  江苏凤凰文艺出版社 / 2017-2-28 / 29.8,https://book.douban.com/subject/26956621/
时间的女儿,7.7,(7420人评价),作者/译者： 八月长安 ,出版信息：  长江文艺出版社 / 2017-4-1 / 45,https://book.douban.com/subject/26898909/
幻城,7.3,(23313人评价),作者/译者： 郭敬明 ,出版信息：  长江文艺出版社 / 2008-4 / 23.00元,https://book.douban.com/subject/3056892/
那些回不去的年少时光·终场,8.7,(20636人评价),作者/译者： 桐华 ,出版信息：  江苏文艺出版社 / 2010-04 / 23.80元,https://book.douban.com/subject/4732378/
夏至未至,7.6,(20357人评价),作者/译者： 郭敬明 ,出版信息：  长江文艺出版社 / 2010-4 / 26.80元,https://book.douban.com/subject/4818929/
许我向你看,7.7,(22258人评价),作者/译者： 辛夷坞 ,出版信息：  河南文艺出版社 / 2008-12 / 25.00元,https://book.douban.com/subject/3293231/
我在回忆里等你,7.6,(23710人评价),作者/译者： 辛夷坞 ,出版信息：  江苏文艺出版社 / 2010-02 / 25.00元,https://book.douban.com/subject/4241870/
