书名,评分,评价人数,作者,出版社,url
农村中学毕业生进城务工指南,9.9,(147人评价),作者/译者： 牛东印 ,出版信息：  河北教育出版社 / 2006-10 / 5.80元,https://book.douban.com/subject/2034673/
深入理解计算机系统（原书第2版）,9.7,(2792人评价),作者/译者： （美）Randal E.Bryant、David O'Hallaron / 龚奕利、雷迎春 ,出版信息：  机械工业出版社 / 2011-1-1 / 99.00元,https://book.douban.com/subject/5333562/
1984:动物农场,9.4,(20990人评价),作者/译者： [英] 乔治·奥威尔 / 董乐山、傅惟慈 ,出版信息：  万卷出版公司 / 2010-10 / 25.00元,https://book.douban.com/subject/5299764/
经济学原理:微观经济学分册,9.4,(10885人评价),作者/译者： [美] N.格里高利·曼昆 / 梁小民、梁砾 ,出版信息：  北京大学出版社 / 2009-4-1 / 54.00元,https://book.douban.com/subject/3719533/
金瓶梅词话（全六册）,9.2,(465人评价),作者/译者： ,出版信息： 兰陵笑笑生 / 香港太平书局 / 1992年8月,https://book.douban.com/subject/1891221/
围城,9.2,(27479人评价),作者/译者： 钱锺书 ,出版信息：  人民文学出版社 / 2007-8 / 19.00元,https://book.douban.com/subject/1855364/
沉默的大多数:王小波杂文随笔全编,9.1,(117628人评价),作者/译者： 王小波 ,出版信息：  中国青年出版社 / 1997-10 / 27.00元,https://book.douban.com/subject/1054685/
柴王(06):講談社授權中文版,9.1,(1264人评价),作者/译者： 布浦翼 / 陳美幸 / 尖端 / 2004,出版信息： 6/23 / 120(元),https://book.douban.com/subject/1949105/
白夜行,9.1,(470352人评价),作者/译者： [日] 东野圭吾 / 刘姿君 ,出版信息：  南海出版公司 / 2008-9 / 29.80元,https://book.douban.com/subject/3259440/
洞穴奇案,9.0,(8241人评价),作者/译者： [美] 彼得·萨伯 / 陈福勇、张世泰 ,出版信息：  生活·读书·新知三联书店 / 2009-06 / 18.00,https://book.douban.com/subject/3697494/
嫌疑人X的献身,9.0,(46864人评价),作者/译者： [日] 东野圭吾 / 刘子倩 ,出版信息：  南海出版公司 / 2010-1 / 19.80元,https://book.douban.com/subject/4117922/
额尔古纳河右岸,9.0,(16461人评价),作者/译者： 迟子建 ,出版信息：  北京十月文艺出版社 / 2005-12-1 / 29.00元,https://book.douban.com/subject/3311253/
大江东去（共三部）,8.9,(5511人评价),作者/译者： 阿耐 ,出版信息：  长江文艺出版社 / 2009-1 / 118.00元,https://book.douban.com/subject/3432304/
小公主:外国文学经典,8.9,(4573人评价),作者/译者： (美)伯内特 ,出版信息：  外语教学与研究出版社 / 2006-1 / 9.90元,https://book.douban.com/subject/1803641/
全球通史（第7版上册）:从史前史到21世纪,8.9,(12751人评价),作者/译者： [美] 斯塔夫里阿诺斯 / 董书慧、王昶、徐正源 ,出版信息：  北京大学出版社 / 2005-1 / 88.00元,https://book.douban.com/subject/1225977/
追风筝的人,8.9,(693844人评价),作者/译者： [美] 卡勒德·胡赛尼 / 李继宏 ,出版信息：  上海人民出版社 / 2006-5 / 29.00元,https://book.douban.com/subject/1770782/
这些人，那些事,8.8,(59381人评价),作者/译者： 吴念真 ,出版信息：  译林出版社 / 2011-9 / 28.00元,https://book.douban.com/subject/6388661/
