书名,评分,评价人数,作者,出版社,url
第一次上街买东西,9.4,(186人评价),作者/译者： [日] 筒井赖子  著、[日] 林明子  绘 / 彭懿 ,出版信息：  新星出版社 / 2014-4 / 29.80元,https://book.douban.com/subject/25835053/
还是咬人画的:温暖又简单的生活,9.3,(268人评价),作者/译者： 咬人 ,出版信息：  北京联合出版公司 / 2012-11 / 29.90元,https://book.douban.com/subject/23134211/
我們的存在9,9.3,(280人评价),作者/译者： 小畑友紀 ,出版信息：  柯明鈺 / 東立 / 2006,https://book.douban.com/subject/2143474/
活着,9.3,(24130人评价),作者/译者： 余华 ,出版信息：  作家出版社 / 2010-10 / 15.00元,https://book.douban.com/subject/5350303/
高木直子6周年纪念(套装全12册),9.3,(117人评价),作者/译者： ,出版信息： 高木直子 / 陕西师范大学出版社 / 2011-6-1,https://book.douban.com/subject/10511613/
ひとり暮らしな日々。,9.3,(79人评价),作者/译者： たかぎなおこ ,出版信息：  主婦と生活社 / 2010-07-02 / 980円（税入）,https://book.douban.com/subject/4899269/
人生的智慧,9.2,(21670人评价),作者/译者： [德] 阿图尔·叔本华 / 韦启昌 ,出版信息：  上海人民出版社 / 2008-10 / 28.00元,https://book.douban.com/subject/3261600/
Laughalonecollectionpostcard:Youdon'thavetotellmeifitistrue,9.2,(26人评价),作者/译者： b.wing ,出版信息：  Joyart Development Limited (Bwing) / 2006年05月 / HK$75,https://book.douban.com/subject/4011860/
好妈妈的第一本漫画育儿书,9.2,(62人评价),作者/译者： （日）亲野智可等、（日）橡橡橡树果 / 娄绍慧 ,出版信息：  辽宁科学技术出版社 / 2011-5 / 19.80元,https://book.douban.com/subject/6109470/
第一次一个人旅行2,9.2,(15人评价),作者/译者： [日] 高木直子 / 吕点 ,出版信息：  新星出版社 / 2021-1 / 42.00,https://book.douban.com/subject/35318803/
黄昏海的故事,9.2,(1602人评价),作者/译者： 安房直子 / 彭懿 ,出版信息：  少年儿童出版社 / 2004-03-01 / 17.00元,https://book.douban.com/subject/1152564/
Q版大明衣冠图志,9.2,(688人评价),作者/译者： 董进（撷芳主人） ,出版信息：  北京邮电大学出版社 / 2011-1 / 98.00元,https://book.douban.com/subject/5505258/
一個人出國到處跑:高木直子的海外歡樂馬拉松,9.1,(64人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  大田 / 2014-12-1 / NTD 280,https://book.douban.com/subject/26268809/
你看起来好像很好吃,9.1,(8314人评价),作者/译者： 宫西达也 / 杨文 ,出版信息：  北京少年儿童出版社 / 2004-06 / 32,https://book.douban.com/subject/1026035/
浮き草デイズ〈2〉,9.1,(32人评价),作者/译者： たかぎなおこ ,"出版信息：  文藝春秋 / 2009-3-14 / 1,000円(税込)",https://book.douban.com/subject/3746527/
已經不是一個人:高木直子40脫單故事,9.0,(140人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  大田出版社 / 2018-9-1 / NTD 290,https://book.douban.com/subject/30309248/
一個人的每一天,9.0,(285人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  大田出版有限公司 / 2012-1-30 / NTD 250,https://book.douban.com/subject/10458506/
小王子,8.9,(1890人评价),作者/译者： [法国] 安托万·德·圣埃克苏佩里 / 周国强 ,出版信息：  长江文艺出版社 湖北人民出版社 / 2006-9 / 19.00元,https://book.douban.com/subject/1933695/
重读古典,8.9,(113人评价),作者/译者： 李书磊 ,出版信息：  中国广播电视出版社 / 1997-04 / 10.00,https://book.douban.com/subject/1055709/
ひとりぐらしも何年め?,8.9,(11人评价),作者/译者： たかぎ なおこ / KADOKAWA,出版信息： メディアファクトリー / 2015-10-13 / JPY 1188,https://book.douban.com/subject/26616099/
百年孤独,8.9,(52651人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 黄锦炎、沈国正、陈泉 ,出版信息：  上海译文出版社 / 1989-10 / 12.70元,https://book.douban.com/subject/1786670/
霸王别姬青蛇,8.9,(16746人评价),作者/译者： 李碧华 ,出版信息：  花城出版社 / 2001-5 / 21.00元,https://book.douban.com/subject/1018577/
媽媽的每一天:高木直子手忙腳亂日記,8.8,(63人评价),作者/译者： 高木直子 / 洪俞君、陳怡君 ,出版信息：  大田出版有限公司 / 2020-5-1 / NTD 320,https://book.douban.com/subject/35053888/
我讨厌妈妈,8.8,(4242人评价),作者/译者： 酒井驹子 / 彭懿 ,出版信息：  南海出版公司 / 2007-6 / 22.00元,https://book.douban.com/subject/2150240/
一个人漂泊的日子2,8.8,(2888人评价),作者/译者： 高木直子 / 陈孟姝 ,出版信息：  当代世界出版社 / 2010-9-1 / 25.00元,https://book.douban.com/subject/5252666/
一個人做飯好好吃,8.8,(81人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  大田出版有限公司 / 2016-12-1 / NT$ 280,https://book.douban.com/subject/26927795/
上京はしたけれど。,8.8,(46人评价),作者/译者： たかぎなおこ ,出版信息：  メディアファクトリー / 2004-6-18 / 998円(税込),https://book.douban.com/subject/1418602/
看不见的城市,8.8,(35807人评价),作者/译者： [意大利]伊塔洛·卡尔维诺 / 张宓 ,出版信息：  译林出版社 / 2006-8 / 16.00元,https://book.douban.com/subject/1863930/
一个人的小繁华②,8.8,(895人评价),作者/译者： [日]高木直子  著绘 / 陈怡君 ,出版信息：  北京联合出版公司 / 2015-5 / 39.90元,https://book.douban.com/subject/26411155/
窗边的小豆豆,8.7,(174777人评价),作者/译者： [日] 黑柳彻子 著、岩崎千弘 图 / 赵玉皎 ,出版信息：  南海出版公司 / 2003-1 / 20.00元,https://book.douban.com/subject/1007914/
ひとりぐらしも5年め,8.7,(33人评价),作者/译者： たかぎなおこ ,"出版信息：  メディアファクトリー / 2003-8-1 / 1,029円(税込)",https://book.douban.com/subject/1346193/
一个人的美食跑跑跑·海外篇,8.7,(707人评价),作者/译者： 高木直子 / 香冰 ,出版信息：  湖南美术出版社 / 2014-11-1 / CNY 30.00,https://book.douban.com/subject/26253659/
一個人去跑步:馬拉松1年級生,8.7,(413人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  大田出版社 / 2011-5-30 / NT$250,https://book.douban.com/subject/6126046/
ひとりぐらしも9年め,8.7,(76人评价),作者/译者： [日] たかぎなおこ ,"出版信息：  メディアファクトリー / 2009-4-24 / 1,029円(税込)",https://book.douban.com/subject/3701514/
两个人的头两年,8.7,(3654人评价),作者/译者： 高木直子 / 锦小豆 ,出版信息：  百花洲文艺出版社 / 2018-9-1 / 38.00元,https://book.douban.com/subject/30302300/
我的路3:蓝色饼干,8.7,(14647人评价),作者/译者： 寂地 ,出版信息：  黑龙江美术出版社 / 2006-5 / 20.00元,https://book.douban.com/subject/1819974/
一点巴黎,8.7,(1627人评价),作者/译者： 让-雅克・桑贝 / 秋杉 ,出版信息：  中信出版社 / 2003-1 / 25.00元,https://book.douban.com/subject/1053249/
我和狗狗的16年,8.7,(1665人评价),作者/译者： 高木直子 / 黄悦生 ,出版信息：  北京联合出版社 / 2013-9-1 / CNY 28.00,https://book.douban.com/subject/25373041/
一个人住第几年？,8.6,(1436人评价),作者/译者： [日]高木直子 / 香冰 ,出版信息：  百花洲文艺出版社 / 2016-9-1 / CNY 30.00,https://book.douban.com/subject/26886428/
一個人邊跑邊吃:高木直子呷飽飽馬拉松之旅,8.6,(145人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  大田出版有限公司 / 2014-1-1 / NTD 270,https://book.douban.com/subject/25804286/
越过云层的晴朗,8.6,(657人评价),作者/译者： 迟子建 ,出版信息：  上海文艺出版社 / 2003-4-1 / 18.00元,https://book.douban.com/subject/1122859/
一个人去跑步,8.6,(3402人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  译林出版社 / 2011-8-1 / 28.00元,https://book.douban.com/subject/6731566/
夏洛的网,8.6,(57763人评价),作者/译者： [美] E.B.怀特 / 任溶溶 ,出版信息：  上海译文出版社 / 2004-5 / 17.00元,https://book.douban.com/subject/1036274/
一個人好孝順:高木直子帶著爸媽去旅行,8.6,(146人评价),作者/译者： 高木直子 / 洪俞君 ,出版信息：  大田出版有限公司 / 2015-12-1 / NTD 270,https://book.douban.com/subject/26684847/
お互い40代婚,8.6,(12人评价),作者/译者： たかぎ なおこ ,出版信息：  KADOKAWA / 2018-3-16 / JPY 1188,https://book.douban.com/subject/30159581/
一个人住的每一天,8.6,(9949人评价),作者/译者： （日）高木直子 / 顾峰峰、书中缘、书锦缘 ,出版信息：  辽宁科学技术出版社 / 2011-6-1 / 25.00元,https://book.douban.com/subject/6387054/
出发吧!和爸妈一起!,8.6,(922人评价),作者/译者： 高木直子 / 香冰 ,出版信息：  浙江人民美术出版社 / 2015-12-20 / CNY 30.00,https://book.douban.com/subject/26690392/
一个人的美食之旅(第3版)(高木直子首发10周年纪念版),8.5,(341人评价),作者/译者： [日] 高木直子 / 陈怡君 ,出版信息：  江西科学技术出版社 / 2013-7-1 / 28.00元,https://book.douban.com/subject/25712323/
食物与厨艺:蔬·果·香料·谷物,8.5,(294人评价),作者/译者： [美] 哈洛德·马基 / 蔡承志 ,出版信息：  北京美术摄影出版社 / 2013-8-1 / 69.80元,https://book.douban.com/subject/24885007/
走出忧郁:一部让世界瞩目的希望之书,8.5,(197人评价),作者/译者： 安德鲁.所罗门 / 李凤翔 ,出版信息：  重庆出版社 / 2010-8 / 29.80元,https://book.douban.com/subject/4932572/
解忧杂货店,8.5,(680923人评价),作者/译者： [日] 东野圭吾 / 李盈春 ,出版信息：  南海出版公司 / 2014-5 / 39.50元,https://book.douban.com/subject/25862578/
一个人住第5年,8.5,(858人评价),作者/译者： 高木直子 ,出版信息：  北京联合出版公司 / 2013-7 / 28.00元,https://book.douban.com/subject/25857378/
倾城之恋,8.5,(149489人评价),作者/译者： ,出版信息： 花城出版社 / 1997-3-1 / 11.00,https://book.douban.com/subject/1090043/
姥姥语录,8.5,(3548人评价),作者/译者： 倪萍 ,出版信息：  中华书局 / 2010-12 / 26.00元,https://book.douban.com/subject/5389557/
一个人的美食跑跑跑,8.5,(1116人评价),作者/译者： [日] 高木直子 / 香冰 ,出版信息：  湖南美术出版社 / 2013-11-1 / CNY 28.00,https://book.douban.com/subject/25728467/
一个人的42公里:马拉松2年级生,8.5,(1363人评价),作者/译者： (日)高木直子 ,出版信息：  光明日报出版社 / 2012-7-1 / 30.00元,https://book.douban.com/subject/10810687/
摩天大战,8.5,(162人评价),作者/译者： [瑞士]杰曼诺 文、阿贝婷 图 / 刘叶茹 ,出版信息：  北京联合出版公司·后浪出版公司 / 2014-7 / 58.00元,https://book.douban.com/subject/25870860/
一个人Life：高木直子笔记本:日本绘本天后高木直子唯一授权简体中文版笔记本,8.5,(132人评价),作者/译者： 高木直子 绘 ,出版信息：  北京联合出版公司 / 2014-5-1 / 45.00,https://book.douban.com/subject/25920002/
