书名,评分,评价人数,作者,出版社,url
TheLordoftheRings:50thAnniversaryEdition,9.9,(79人评价),作者/译者： J. R. R. Tolkien ,出版信息：  Houghton Mifflin Harcourt / 2004-10-21 / USD 90.00,https://book.douban.com/subject/1947221/
HarryPotterPagetoScreen:TheCompleteFilmmakingJourney,9.9,(144人评价),作者/译者： Bob McCabe ,出版信息：  HarperCollins / 2011-11-1 / GBP 75.00,https://book.douban.com/subject/6872645/
HarryPotter-TheCompleteStory:CollectedAudioEdition,9.8,(53人评价),作者/译者： J. K. Rowling ,出版信息：  Bloomsbury Publishing PLC / 2008-10-20 / GBP 350.00,https://book.douban.com/subject/3485760/
HarryPotterFilmWizardry,9.8,(153人评价),作者/译者： Brian Sibley ,出版信息：  Collins Design / 2010-10-19 / $39.99,https://book.douban.com/subject/4751521/
HarryPotterandtheHalf-BloodPrince-Book6,9.8,(72人评价),"作者/译者： Rowling, J. K.; Kazu Kibuishi (Illustrator), Mary GrandPre (Illustrator) ","出版信息：  Scholastic, Inc.; / 2013-8 / $ 14.99",https://book.douban.com/subject/21993089/
魔戒三部曲:王者再臨,9.8,(37人评价),作者/译者： 托爾金 J. R. R. Tolkien / 朱學恆 ,出版信息：  聯經出版事業股份有限公司 / 2012-12-14 / NT$420,https://book.douban.com/subject/20424116/
HarryPotter:(1-7)AudioCollection[AUDIOBOOK][UNABRIDGED](AudioCD),9.7,(198人评价),作者/译者： J.K.Rowling (author)、Jim Dale (reader) ,"出版信息：  Listening Library / September 17, 2007 / USD 454.80",https://book.douban.com/subject/2993543/
TheLordoftheRings:ReturnoftheKingVol3(TheLordoftheRings),9.7,(77人评价),作者/译者： John R. R. Tolkien ,出版信息：  HarperCollins Publishers / 2001 / GBP 6.99,https://book.douban.com/subject/1729697/
哈利·波特,9.7,(47443人评价),作者/译者： J.K.罗琳 (J.K.Rowling) / 苏农、马爱农、马爱新 ,出版信息：  人民文学出版社 / 2008-12-1 / 498.00元,https://book.douban.com/subject/24531956/
HarryPotterandtheChamberofSecrets:LatinEdition,9.7,(98人评价),"作者/译者： J.K. Rowling / Needham, Peter ",出版信息：  Bloomsbury Publishing PLC / 2007-01-02 / USD 22.87,https://book.douban.com/subject/3335642/
哈利·波特与死亡圣器,9.7,(265人评价),作者/译者： [英] J·K·罗琳 / 马爱农、马爱新 ,出版信息：  人民文学出版社 / 2018-10 / 75.00元,https://book.douban.com/subject/30294370/
绿野仙踪全集之四,9.7,(177人评价),作者/译者： (美)鲍姆 / 杨怡 ,出版信息：  上海译文出版社 / 1993.1 / 8.35,https://book.douban.com/subject/3034059/
冰与火之歌卷三:冰雨的风暴,9.7,(172人评价),作者/译者： [美国] 乔治·R·R·马丁 / 屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2017-1 / 158.00,https://book.douban.com/subject/26925309/
魔戒：插图版,9.6,(236人评价),作者/译者： (英)J.R.R.托尔金 / 朱学恒 ,出版信息：  译林出版社 / 2013-1 / 118.00元,https://book.douban.com/subject/10875956/
哈利·波特与魔法石（全彩绘本）,9.6,(107人评价),作者/译者： [英]J.K.罗琳 / 苏农 ,出版信息：  人民文学出版社 / 2016-1 / 89.00元,https://book.douban.com/subject/26709843/
冰与火之歌·卷三·冰雨的风暴（全三册）,9.6,(5227人评价),作者/译者： (美)乔治·R. R. 马丁 / 屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2012-6 / 148.00元,https://book.douban.com/subject/10608468/
SongofIceandFireSeries5CopyBoxedSetUKEdition:TheStoryContinues,9.6,(71人评价),作者/译者： George R.R. Martin ,出版信息：  Harper Voyager / 2011-6-23 / GBP 39.99,https://book.douban.com/subject/6779365/
百年孤独（插图纪念版）:插图纪念版,9.6,(198人评价),作者/译者： (哥伦) 加西亚·马尔克斯 著、(智) 路易莎·里维拉 绘 / 范晔 ,出版信息：  南海出版公司 / 2020-9-8 / 128.00元,https://book.douban.com/subject/35060745/
THELORDOFTHERINGS:FilmEdition,9.6,(130人评价),作者/译者： J. R. R. Tolkien ,出版信息：  HarperCollins / 2001-09-03 / 250.00,https://book.douban.com/subject/1137484/
TheLordoftheRings,9.6,(62人评价),作者/译者： J. R. R. Tolkien ,出版信息：  Grafton / 1993-12-31 / GBP 15.99,https://book.douban.com/subject/2023402/
TheReturnoftheKing,9.6,(296人评价),作者/译者： J. R. R. Tolkien ,出版信息：  HarperCollins / 1999-6 / GBP 7.99,https://book.douban.com/subject/1340583/
"GeorgeR.R.Martin'sAGameofThrones4-BookBoxedSet:AGameofThrones,AClashofKings,AStormofSwords,andAFeastforCrows",9.6,(385人评价),作者/译者： George R.R. Martin ,出版信息：  Bantam / 2011-3-22 / 230.00元,https://book.douban.com/subject/6018589/
哈利.波特电影魔法书,9.6,(557人评价),作者/译者： [英]布莱恩·西布利(Brian、Sibely) ,出版信息：  人民邮电出版社 / 2013-7-29 / CNY 198.00,https://book.douban.com/subject/25697249/
HarryPotterandtheSorcerer'sStone,9.6,(351人评价),作者/译者： J.K. Rowling ,出版信息：  Scholastic / 1998-10 / $22.99,https://book.douban.com/subject/2154092/
哈利·波特:典藏版,9.6,(324人评价),作者/译者： J.K.罗琳 / 马爱农、马爱新、苏农 ,出版信息：  人民文学出版社 / 2017-9-1 / CNY 648.00,https://book.douban.com/subject/27045883/
冰与火之歌·卷三·冰雨的风暴（下）,9.6,(1156人评价),作者/译者： (美)乔治·R. R. 马丁 / 屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2012-6 / 35.00元,https://book.douban.com/subject/10608473/
冰与火之歌·卷三·冰雨的风暴（中）,9.6,(1238人评价),作者/译者： (美)乔治·R. R. 马丁 / 屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2012-6 / 35.00元,https://book.douban.com/subject/10608472/
松风,9.6,(1695人评价),作者/译者： 早稻 ,出版信息：  中国水利水电出版社 / 2015-7-10 / 144元,https://book.douban.com/subject/26469245/
"冰与火之歌卷二:ASongofIceandFire,Book2)",9.6,(215人评价),作者/译者： George R.R. Martin / 屈畅、谭光磊、胡邵晏 ,出版信息：  重庆出版社 / 2017-1-1 / 125.00元,https://book.douban.com/subject/26925310/
烙印战士12,9.6,(327人评价),作者/译者： ,出版信息： 三浦健太郎 / 天下出版有限公司 / HK$35,https://book.douban.com/subject/5973095/
塔希里亚故事集Ⅷ,9.6,(219人评价),作者/译者： 吴淼 ,出版信息：  接力出版社 / 2015-7 / 42.00元,https://book.douban.com/subject/26545120/
冰与火之歌卷一:权力的游戏,9.6,(352人评价),作者/译者： [美]乔治·R.R.马丁 / 谭光磊、屈畅 ,出版信息：  重庆出版社 / 2017-1 / 120,https://book.douban.com/subject/26925308/
哈利·波特与火焰杯,9.6,(240人评价),作者/译者： [英] J·K·罗琳 / 马爱农、马爱新 ,出版信息：  人民文学出版社 / 2018-10 / 68.00元,https://book.douban.com/subject/30294373/
烙印战士9,9.5,(326人评价),作者/译者： ,出版信息： 三浦健太郎 / 天下出版社 / $35,https://book.douban.com/subject/5908136/
哈利·波特与阿兹卡班囚徒,9.5,(235人评价),作者/译者： [英] J·K·罗琳 / 马爱农、马爱新 ,出版信息：  人民文学出版社 / 2018-10 / 49.00元,https://book.douban.com/subject/30294605/
TheHobbitandTheLordoftheRings:BoxedSet,9.5,(53人评价),"作者/译者： Tolkien, J. R. R. ",出版信息：  HarperCollins UK / 2012-11 / 415.00元,https://book.douban.com/subject/20057050/
魔戒（插图珍藏版）,9.5,(1210人评价),作者/译者： (英)J.R.R.托尔金 / 朱学恒 ,出版信息：  译林出版社 / 2011-12-18 / 189.00元,https://book.douban.com/subject/6903227/
魔戒,9.5,(5767人评价),作者/译者： [英] J.R.R.托尔金 / 邓嘉宛、石中歌、杜蕴慈 ,出版信息：  上海人民出版社 / 2013-9 / 169.00元,https://book.douban.com/subject/21979017/
哈利·波特与魔法石:英汉对照版,9.5,(119人评价),作者/译者： [英] J·K·罗琳 / 苏农 ,出版信息：  人民文学出版社 / 2019-1 / 55.00元,https://book.douban.com/subject/30371059/
HarryPotterandtheChamberofSecrets,9.5,(168人评价),"作者/译者： Rowling, J. K ","出版信息：  Scholastic, Inc / 2013-9 / $ 12.99",https://book.douban.com/subject/21993087/
烙印戰士4:剑风传奇,9.5,(473人评价),作者/译者： 三浦健太郎 ,出版信息：  天下出版公司 / 1994 / 35,https://book.douban.com/subject/5407012/
AGameofThrones:ASongofIceandFire:BookOne,9.5,(193人评价),作者/译者： George R.R. Martin ,出版信息：  Spectra / 1996-8 / USD 35.00,https://book.douban.com/subject/2631761/
塔希里亚故事集Ⅴ,9.5,(696人评价),作者/译者： 吴淼 ,出版信息：  接力出版社 / 2012-1 / 32.00元,https://book.douban.com/subject/7056972/
冰与火之歌卷五:魔龙的狂舞,9.5,(148人评价),作者/译者： [美国] 乔治·R·R·马丁 / 屈畅、赵琳 ,出版信息：  重庆出版社 / 2017-1 / 158.00,https://book.douban.com/subject/26925307/
精靈寶鑽:中土大陸的神話與傳奇,9.5,(331人评价),作者/译者： 托爾金 著、泰德‧納史密斯 繪 / 鄧嘉宛 ,出版信息：  聯經出版公司 / 2002-12 / TWD 380,https://book.douban.com/subject/1375338/
塔希里亚故事集:新版,9.5,(225人评价),作者/译者： 吴淼 ,出版信息：  接力出版社 / 2012-9 / 26.00元,https://book.douban.com/subject/17604305/
冰与火之歌·卷五·魔龙的狂舞（下）,9.5,(986人评价),作者/译者： [美]乔治·R. R. 马丁 / 屈畅、赵琳 ,出版信息：  重庆出版社 / 2013-1-1 / 38.00元,https://book.douban.com/subject/20381803/
哈利.波特-(珍藏版)(全七册),9.5,(1242人评价),作者/译者： J.K.罗琳 / 苏农、马爱新 马爱农 ,出版信息：  人民文学出版社 / 2008-12-1 / 430.00元,https://book.douban.com/subject/3393172/
百年孤独:50周年纪念版,9.5,(7060人评价),作者/译者： [哥伦比亚] 加西亚·马尔克斯 / 范晔 ,出版信息：  南海出版公司 / 2017-8 / 55.00元,https://book.douban.com/subject/27107109/
TheLordoftheRings:TwoTowersv.2(TheLordoftheRings),9.5,(93人评价),作者/译者： John R. R. Tolkien ,出版信息：  HarperCollins Publishers / 2001 / 40.00元,https://book.douban.com/subject/1486170/
烙印战士7,9.5,(323人评价),作者/译者： ,出版信息： 三浦健太郎 / 天下出版有限公司 / HK$35,https://book.douban.com/subject/5445894/
異獸魔都(21),9.5,(198人评价),作者/译者： 林田球 / 貓頭鷹 ,出版信息：  長鴻 / 2017-11-30 / NT130,https://book.douban.com/subject/27169408/
哈利波特完整系列,9.5,(160人评价),作者/译者： [英] J. K. 罗琳 / NongSu、AixinMa ,出版信息：  Pottermore / 2016-8-1 / 393.4,https://book.douban.com/subject/27167519/
哈利·波特与密室,9.5,(272人评价),作者/译者： J.K.罗琳 / 马爱农、马爱新 ,出版信息：  人民文学出版社 / 2016-12-1 / CNY 72.00,https://book.douban.com/subject/26874198/
冰与火之歌（卷一）:权力的游戏（下）,9.5,(2494人评价),作者/译者： [美] 乔治·R.R.马丁 / 屈畅、谭光磊 ,出版信息：  重庆出版社 / 2011-12 / 29.80元,https://book.douban.com/subject/6964051/
冰与火之歌·卷三·冰雨的风暴（上）,9.5,(1330人评价),作者/译者： [美]乔治·R. R. 马丁 / 屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2012-1 / 35.00元,https://book.douban.com/subject/10608470/
"GoodOmens:TheNiceandAccuratePropheciesofAgnesNutter,Witch",9.5,(117人评价),作者/译者： Neil Gaiman、Terry Pratchett ,出版信息：  HarperTorch / 2006-12-01 / USD 7.99,https://book.douban.com/subject/2248998/
冰与火之歌:（1-5卷：权力的游戏、列王的纷争、冰雨的风暴、群鸦的盛宴、魔龙的狂,9.5,(11935人评价),作者/译者： [美]乔治·R.R.马丁 / 谭光磊、屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2013-10-1 / 330.00元,https://book.douban.com/subject/25826936/
冰与火之歌（卷三）:冰雨的风暴（全三册）,9.5,(12148人评价),作者/译者： [美] 乔治.R.R.马丁 / 屈畅、胡绍晏 ,出版信息：  重庆出版社 / 2007-1 / 88.00元,https://book.douban.com/subject/1986291/
魔戒:插图本,9.5,(930人评价),作者/译者： [英] J. R. R. 托尔金 著、[英] 艾伦·李 图 / 邓嘉宛、石中歌、杜蕴慈 ,出版信息：  上海人民出版社 / 2014-6-1 / 139元,https://book.douban.com/subject/25869080/
塔希里亚故事集Ⅲ,9.5,(1289人评价),作者/译者： 吴淼 ,出版信息：  接力出版社 / 2010-1 / 29.80元,https://book.douban.com/subject/4219728/
怪物大师9:远古巨兽的断齿迷踪,9.4,(123人评价),作者/译者： ,出版信息： 雷欧幻像,https://book.douban.com/subject/25814713/
魔戒:双城奇谋,9.4,(1049人评价),作者/译者： (英)J.R.R.托尔金 / 朱学恒 ,出版信息：  译林出版社 / 2013-1 / 39.00元,https://book.douban.com/subject/10875960/
