书名,评分,评价人数,作者,出版社,url
呐喊,9.0,(115190人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973年3月 / 0.36元,https://book.douban.com/subject/1449351/
朝花夕拾,8.9,(110480人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1972-4 / 0.25元,https://book.douban.com/subject/1449352/
彷徨,9.1,(39965人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-3 / 0.37元,https://book.douban.com/subject/1449348/
野草,9.4,(26546人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-3 / 0.20元,https://book.douban.com/subject/1915958/
故事新编,9.4,(22048人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-12-01 / 0.31 元,https://book.douban.com/subject/2046909/
狂人日记,8.8,(54781人评价),作者/译者： 鲁迅 ,出版信息：  京华出版社 / 2006-3 / 39.80元,https://book.douban.com/subject/1398395/
无法直面的人生:鲁迅传,8.6,(263人评价),作者/译者： 王晓明 ,出版信息：  生活·读书·新知三联书店 / 2021-1 / 79.00元,https://book.douban.com/subject/35167966/
阿Q正传,8.8,(74420人评价),作者/译者： 鲁迅 著、丰子恺 绘 ,出版信息：  上海书店出版社 / 2003-7 / 14.50元,https://book.douban.com/subject/1088065/
呐喊:鲁迅短篇小说集,9.4,(5032人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2016-1 / 32.00元,https://book.douban.com/subject/26710670/
坟,9.6,(6329人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 16.00元,https://book.douban.com/subject/1974029/
中国小说史略,9.3,(5293人评价),作者/译者： 鲁迅 ,出版信息：  上海古籍出版社 / 1998-01-01 / 12.90,https://book.douban.com/subject/1203363/
鲁迅全集,9.7,(2133人评价),作者/译者： 鲁迅 ,出版信息：  同心出版社 / 2014-5-1 / 388.00元,https://book.douban.com/subject/25898626/
热风,9.2,(5837人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 9.00元,https://book.douban.com/subject/1974027/
华盖集,9.1,(5467人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-04-01 / 0.33元,https://book.douban.com/subject/2046933/
彷徨:陈丹青推荐版本,9.4,(3077人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2016-1 / 32.00元,https://book.douban.com/subject/26710671/
准风月谈,8.7,(580人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 13.00元,https://book.douban.com/subject/1974018/
鲁迅的饭局,8.9,(31人评价),作者/译者： 薛林荣 ,出版信息：  广西师范大学出版社 / 2021-3 / 72.00,https://book.douban.com/subject/35414115/
而已集,9.2,(4833人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-5 / 0.34元,https://book.douban.com/subject/1968084/
伤逝,8.8,(6689人评价),作者/译者： 鲁迅 ,出版信息：  中国青年出版社 / 2004-1-1 / 19.50元,https://book.douban.com/subject/1157014/
故事新编:鲁迅小说精选集,9.2,(3448人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2015-1-1 / 25.00元,https://book.douban.com/subject/26285194/
孔乙己,9.6,(2074人评价),作者/译者： 鲁迅 原著 程十髮 繪畫 ,出版信息：  連環畫出版社 / 2011-8 / 38元,https://book.douban.com/subject/6872620/
鲁迅杂文集:1918-1936精选,9.3,(1557人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2015-12 / 32.00元,https://book.douban.com/subject/26697791/
鲁迅全集（2005最新修订版）:全十八卷,9.5,(4704人评价),作者/译者： 鲁迅 / 有2012年第4次印本 ,出版信息：  人民文学出版社 / 2005-11 / 990.00元,https://book.douban.com/subject/1442720/
狂人日记:鲁迅小说集,9.3,(645人评价),作者/译者： 鲁迅 ,出版信息：  海南出版社 / 2017-1 / 28.00,https://book.douban.com/subject/26937509/
呐喊:呐喊,9.5,(2287人评价),作者/译者： 鲁迅 ,出版信息：  译林出版社 / 2013-11-1 / 10.8,https://book.douban.com/subject/25745773/
阿Q正传,9.2,(997人评价),作者/译者： 鲁迅 ,出版信息：  北京联合出版公司 / 2014-12-1 / 20.00,https://book.douban.com/subject/26639614/
药,9.5,(929人评价),作者/译者： ,出版信息： 鲁迅原著 / 1979-12,https://book.douban.com/subject/26881522/
笑谈大先生:七讲鲁迅,8.3,(6752人评价),作者/译者： 陈丹青 ,出版信息：  广西师范大学出版社 / 2011-1 / 36.00元,https://book.douban.com/subject/5905348/
两地书,8.4,(1010人评价),作者/译者： 鲁迅、许广平 ,出版信息：  人民文学出版社 / 2006-12 / 19.00元,https://book.douban.com/subject/1960244/
野草:鲁迅诗文精选集,9.3,(1414人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2016-1-1 / 29.0元,https://book.douban.com/subject/26700416/
朝花夕拾:鲁迅散文精选集,9.0,(2063人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2015-1-1 / 25元,https://book.douban.com/subject/26285184/
唐宋传奇集:本版原文系北新书局1927/1928年本,8.6,(251人评价),作者/译者： 鲁迅 校录 ,出版信息：  三秦出版社 / 2019-10 / 68.00元,https://book.douban.com/subject/34874546/
且介亭杂文,8.9,(1506人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-3 / 0.40,https://book.douban.com/subject/1790950/
呐喊彷徨故事新编:鲁迅作品名家插图,9.4,(464人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2013-5 / 39.00,https://book.douban.com/subject/24704353/
故事新编,9.0,(800人评价),作者/译者： ,出版信息： 鲁迅 / 译林出版社 / 2013-11,https://book.douban.com/subject/25778508/
鲁迅作品十五讲,8.6,(1092人评价),作者/译者： 钱理群 ,出版信息：  北京大学出版社 / 2003-9-1 / 22.00元,https://book.douban.com/subject/1044989/
无法直面的人生:鲁迅传,8.8,(969人评价),作者/译者： 王晓明 ,出版信息：  上海文艺出版社 / 2001-5 / 20.00元,https://book.douban.com/subject/1052242/
祝福,9.1,(979人评价),作者/译者： 鲁迅 ,出版信息：  中国青年出版社 / 2004-1-1 / 17.5,https://book.douban.com/subject/1157003/
野草,9.2,(313人评价),作者/译者： 鲁迅 ,出版信息：  北京联合出版公司 / 2014-11 / 14.00元,https://book.douban.com/subject/26938278/
惜别,7.5,(1178人评价),作者/译者： [日] 太宰治 / 何青鹏 ,出版信息：  现代出版社 / 2017-5-1 / 28.00,https://book.douban.com/subject/27025572/
呐喊,9.6,(114人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2015-10-1 / 25.00元,https://book.douban.com/subject/27194784/
华盖集续编,8.9,(686人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973年5月第一版 1974年4月第一次印刷 / 0.40元,https://book.douban.com/subject/2033577/
热风,8.9,(749人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-05-01 / 0.26 元,https://book.douban.com/subject/2046916/
伪自由书,8.5,(805人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-05-01 / 0.37 元,https://book.douban.com/subject/2025444/
呐喊.彷徨,9.3,(549人评价),作者/译者： 鲁迅 ,出版信息：  江苏文艺出版社 / 2006-12 / 20.00元,https://book.douban.com/subject/1988664/
狂人日记,9.5,(67人评价),作者/译者： 鲁迅 ,"出版信息：  现代出版社,中国出版集团 / 2018-4-1 / CNY 45.00",https://book.douban.com/subject/30226787/
二心集,8.7,(812人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973 / 0.44元,https://book.douban.com/subject/1468906/
鲁迅传,7.9,(475人评价),作者/译者： 许寿裳 ,出版信息：  九州出版社 / 2017-8 / 38,https://book.douban.com/subject/27114286/
反抗绝望:鲁迅及其文学世界（增订版）,8.4,(525人评价),作者/译者： 汪晖 ,出版信息：  生活·读书·新知三联书店 / 2008-7 / 46.00元,https://book.douban.com/subject/3128876/
鲁迅与我七十年,7.1,(346人评价),作者/译者： 周海婴 ,出版信息：  南海出版公司 / 2001-9 / 25.00元,https://book.douban.com/subject/1008941/
南腔北调集,8.6,(512人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 13.00元,https://book.douban.com/subject/1974038/
《鲁迅文集》（鲁迅博物馆官方版）,0.0,(11人评价),作者/译者： 鲁迅 编者 黄乔生 ,出版信息：  河北人民出版社 / 2019-11 / 399,https://book.douban.com/subject/34908356/
鲁迅小说全集,9.3,(254人评价),作者/译者： 鲁迅 ,出版信息：  山东画报出版社 / 2019-12 / 68.00元,https://book.douban.com/subject/34836845/
阿Q正传:阿Q正传赵延年插图本,9.2,(287人评价),作者/译者： 鲁迅、赵延年 ,出版信息：  人民文学出版社 / 2014-3-1 / 32,https://book.douban.com/subject/26220986/
孤独者,9.1,(417人评价),作者/译者： 鲁迅著 ,出版信息：  浙江文艺出版社 / 2007-4 / 25.00元,https://book.douban.com/subject/2058957/
狂人日记:鲁迅经典小说集,9.3,(78人评价),作者/译者： 鲁迅 ,出版信息：  天津人民出版社 / 2019-12 / 39,https://book.douban.com/subject/34923432/
近代的超克,8.8,(701人评价),作者/译者： [日] 竹内好 / 李冬木、赵京华 等 ,出版信息：  生活·读书·新知三联书店 / 2005-03 / 24.80元,https://book.douban.com/subject/1262809/
鲁迅全集:20卷本,9.5,(346人评价),作者/译者： 鲁迅、鲁迅先生纪念委员会 编纂 ,出版信息：  人民文学出版社 / 1973年 / 50.00（乙种本全套）,https://book.douban.com/subject/3263790/
朝花夕拾,8.4,(3392人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2000-5 / 5.80元,https://book.douban.com/subject/1228109/
鲁迅作品细读,9.1,(178人评价),作者/译者： 钱理群 ,出版信息：  北京出版社 / 2017-10-19 / 38.00,https://book.douban.com/subject/27172216/
人间鲁迅（上、下）,8.6,(242人评价),作者/译者： 林贤治 ,出版信息：  人民文学出版社 / 2010-9 / 69.00元,https://book.douban.com/subject/4279827/
热风,9.1,(135人评价),作者/译者： 鲁迅 ,出版信息：  北京联合出版公司 / 2014-11 / 16.8,https://book.douban.com/subject/33369787/
三闲集,8.1,(564人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 11.00元,https://book.douban.com/subject/1974025/
祝福:丰子恺绘鲁迅小说九篇,8.7,(284人评价),作者/译者： 鲁迅、丰子恺 ,出版信息：  山东画报出版社 / 2007年5月 / 22.00元,https://book.douban.com/subject/2066262/
三闲集,8.6,(528人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-5 / 0.35元,https://book.douban.com/subject/1968105/
且介亭杂文二集,8.8,(556人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-07-01 / 0.46 元,https://book.douban.com/subject/2025433/
鲁迅传,7.9,(77人评价),作者/译者： 朱正 ,出版信息：  人民文学出版社 / 2013-1 / 39.00元,https://book.douban.com/subject/22685924/
在酒楼上·伤逝·阿金:新经典文库,9.0,(304人评价),作者/译者： 鲁迅 ,出版信息：  天津人民 / 2005-10 / 28.00元,https://book.douban.com/subject/1444145/
彷徨:鲁迅作品/文集,9.5,(544人评价),作者/译者： ,出版信息： 鲁迅 / 译林出版社 / 2013-11,https://book.douban.com/subject/25778492/
朝花夕拾（《朝花夕拾》《野草》全新未删节插图珍藏版，陈丹青、易中天推荐！）作家榜经典文库,9.4,(136人评价),作者/译者： ,出版信息： 鲁迅 著、大星文化 出品 / 华东师范大学出版社 / 32元,https://book.douban.com/subject/33379218/
彷徨,9.2,(1192人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 10.00,https://book.douban.com/subject/1961815/
鲁迅,8.2,(154人评价),作者/译者： <日>竹内好 / 李心峰 ,出版信息：  浙江文艺出版社 / 1986-11 / 1.05元,https://book.douban.com/subject/3292202/
朝花夕拾,8.9,(509人评价),作者/译者： 鲁迅 ,出版信息：  译林出版社 / 2014-4 / 15,https://book.douban.com/subject/25865424/
华盖集续编,8.9,(349人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 2006-12 / 13.00元,https://book.douban.com/subject/1974039/
苦闷的象征,8.2,(403人评价),作者/译者： (日)厨川白村 / 鲁迅 ,出版信息：  人民文学出版社 / 2007-7 / 10.00,https://book.douban.com/subject/2221890/
魯迅與托洛茨基:《文學與革命》在中國,8.8,(49人评价),作者/译者： 長堀祐造 / 王俊文 ,出版信息：  人間出版社 / 2015-4 / NTD450,https://book.douban.com/subject/26355599/
坟,9.3,(707人评价),作者/译者： 鲁迅 ,出版信息：  人民文学出版社 / 1973-09-01 / 0.50,https://book.douban.com/subject/2025454/
